"bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","cndtn","extwall","roof","intwall","kitchens","fireplaces","landarea","latitude","longitude","nbhd","ward","quadrant"
3,1,"Forced Air","Y",7,3,1949,2014,1968,2,"1996-10-03",105000,1296,"2 Story","Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,7500,40.6963163462963,-74.0705928982748,"B9","Ward 7","NE"
2,0,"Warm Cool","Y",7,3,1962,NA,1973,1,"2005-10-06",225000,1363,"1 Story","Above Average","Average","Brick Veneer","Comp Shingle","Hardwood",1,0,6509,40.6750030968197,-74.1070039243781,"D2","Ward 7","SE"
3,0,"Forced Air","Y",7,4,1915,2002,1967,1.5,"2009-05-13",425000,1250,"1.5 Story Fin","Above Average","Good","Shingle","Comp Shingle","Carpet",1,1,4573,40.735229389435,-74.1130866282112,"F8","Ward 5","NE"
2,1,"Forced Air","Y",7,3,1919,NA,1967,2,"2017-08-17",660000,1782,"2 Story","Above Average","Very Good","Vinyl Siding","Comp Shingle","Hardwood",1,1,3972,40.7716261566935,-74.157702740924,"B3","Ward 4","NW"
5,1,"Warm Cool","Y",10,5,2001,NA,2008,2,"2001-09-18",846217,4044,"2 Story","Very Good","Average","Common Brick","Comp Shingle","Hardwood/Carp",1,1,24203,40.7518746659302,-74.2412243038778,"F2","Ward 3","NW"
3,1,"Hot Water Rad","Y",10,4,1942,2005,1963,2,"2001-11-06",675000,3357,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,3,10861,40.7539089777366,-74.1979342112671,"C3","Ward 3","NW"
3,0,"Hot Water Rad","Y",6,5,1932,2017,1972,2,"2016-09-01",1175000,2101,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,1,8549,40.7804951487272,-74.2100020068632,"B2","Ward 4","NW"
3,1,"Warm Cool","Y",6,4,1938,2006,1969,2,"1996-09-14",265000,2167,"2 Story","Good Quality","Very Good","Brick/Siding","Slate","Hardwood",1,1,4386,40.7530596497823,-74.2291650906393,"A2","Ward 3","NW"
2,1,"Warm Cool","Y",7,3,1928,2002,1967,2,"1995-07-26",425000,2221,"2 Story","Excellent","Good","Stone/Stucco","Slate","Hardwood",1,1,14350,40.7669863226004,-74.2204419976182,"B2","Ward 3","NW"
4,1,"Warm Cool","Y",8,5,1994,NA,2003,2,"1994-09-30",680000,4036,"2 Story","Very Good","Good","Brick Veneer","Comp Shingle","Hardwood/Carp",1,4,8064,40.7509023844061,-74.2442903984263,"F2","Ward 3","NW"
2,2,"Warm Cool","Y",9,3,1939,2016,1969,2,"2018-06-06",1300000,1564,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,2,5100,40.7534364037799,-74.2337711709746,"A2","Ward 3","NW"
4,1,"Hot Water Rad","N",10,5,1942,1987,1963,2.5,"1998-12-19",376000,2540,"2.5 Story Fin","Very Good","Average","Brick/Stone","Slate","Carpet",1,1,5104,40.7796327375902,-74.2071285713872,"B2","Ward 4","NW"
4,1,"Forced Air","Y",11,4,1986,NA,2001,2,"2005-06-17",1900000,2114,"2 Story","Excellent","Good","Common Brick","Comp Shingle","Hardwood",2,2,8389,40.7283098882065,-74.2345491435634,"A5","Ward 3","NW"
2,1,"Warm Cool","Y",6,3,1942,2009,1969,2,"2011-03-27",865000,1296,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,1,5875,40.7498394827238,-74.2217322042507,"A2","Ward 3","NW"
3,1,"Hot Water Rad","Y",9,4,1937,2013,1972,2,"2011-01-07",1325000,2026,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,2,5397,40.7427099235558,-74.2045720284046,"B4","Ward 3","NW"
3,1,"Warm Cool","Y",7,5,1936,1964,1972,2.5,"2018-04-22",1222888,2261,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,5875,40.7810089129602,-74.2004756876182,"B2","Ward 4","NW"
1,1,"Hot Water Rad","Y",9,3,1936,NA,1943,2,"2005-02-08",210000,1661,"2 Story","Average","Average","Aluminum","Comp Shingle","Hardwood",1,1,6120,40.680523449226,-74.0761478363045,"C4","Ward 7","SE"
1,1,"Elec Base Brd","Y",6,3,1961,2003,1976,2,"2004-03-01",495000,1776,"Split Level","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,1,5000,40.7958021715486,-74.1779001876444,"F1","Ward 4","NW"
3,0,"Warm Cool","Y",6,3,1958,2018,1979,1,"2015-08-06",660000,1498,"1 Story","Good Quality","Average","Brick/Siding","Comp Shingle","Hardwood",1,1,5963,40.7724574700841,-74.198007569202,"B2","Ward 4","NW"
3,0,"Warm Cool","Y",6,3,1941,NA,1957,2,"2013-12-13",435000,1344,"2 Story","Above Average","Good","Common Brick","Slate","Carpet",1,1,4643,40.7506999720458,-74.1218504399752,"D9","Ward 5","NE"
2,1,"Forced Air","Y",8,4,2000,NA,2006,2,"2016-05-26",380000,1916,"2 Story","Above Average","Average","Vinyl Siding","Comp Shingle","Carpet",1,0,3871,40.6949999844868,-74.0955110320469,"C4","Ward 7","SE"
2,1,"Warm Cool","Y",7,3,1970,NA,1983,1,"2014-02-27",299000,925,"Split Foyer","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,0,3135,40.6657701962819,-74.1141322579638,"E8","Ward 8","SE"
3,1,"Forced Air","Y",7,5,1927,2017,1964,1,"2017-06-05",834068,1589,"1 Story","Average","Very Good","Common Brick","Comp Shingle","Hardwood",1,1,7126,40.7697633831569,-74.157455882551,"B3","Ward 4","NW"
4,1,"Warm Cool","Y",10,6,1915,1977,1978,2.5,"2011-06-30",1525000,2682,"2.5 Story Fin","Excellent","Good","Stucco","Comp Shingle","Hardwood",1,1,6131,40.7330263221909,-74.2143288645906,"E3","Ward 3","NW"
2,2,"Warm Cool","Y",9,3,1940,NA,1972,2,"1998-02-12",410000,1908,"2 Story","Very Good","Very Good","Common Brick","Slate","Hardwood",1,2,5850,40.7543443129895,-74.235538524536,"A2","Ward 3","NW"
2,0,"Warm Cool","Y",6,3,1935,1979,1961,2,"2008-01-07",825000,1784,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood",1,1,4000,40.7556710648029,-74.2349990515122,"A2","Ward 3","NW"
2,1,"Forced Air","Y",10,3,1952,1994,1975,2,"2015-08-10",779000,2246,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,2,5000,40.7946750967613,-74.1738538032086,"F1","Ward 4","NW"
5,1,"Warm Cool","Y",8,5,1993,2006,2003,2,"2018-05-03",1800000,4270,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood/Carp",1,3,9639,40.7498872549065,-74.2428359886573,"F2","Ward 3","NW"
1,2,"Hot Water Rad","Y",6,3,1956,2014,1976,1,"2014-05-15",4e+05,1271,"1 Story","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,5072,40.6816378079648,-74.0766419241078,"C4","Ward 7","SE"
3,0,"Warm Cool","Y",9,3,1950,NA,1953,1,"2009-12-07",725000,1371,"1 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",2,2,6386,40.730567523012,-74.2415666464831,"D4","Ward 3","NW"
2,2,"Warm Cool","Y",8,3,1940,NA,1957,2.25,"1994-06-21",225000,1704,"2.5 Story Unfin","Above Average","Average","Common Brick","Slate","Hardwood",1,2,6655,40.7749711789166,-74.1719861757492,"A7","Ward 4","NW"
4,0,"Warm Cool","Y",9,4,1960,2002,1980,2,"2011-09-29",839000,1901,"2 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",2,2,5000,40.7154650934536,-74.2309950383792,"E6","Ward 3","NW"
4,1,"Forced Air","Y",8,4,1964,2004,1985,2,"2014-10-07",1250000,2531,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,4,6375,40.7491619101554,-74.2372463983273,"F2","Ward 3","NW"
1,0,"Hot Water Rad","Y",6,3,1927,2017,1967,2,"2017-05-07",8e+05,1520,"2 Story","Above Average","Very Good","Wood Siding","Comp Shingle","Hardwood",1,1,4400,40.7749749929452,-74.163390035591,"A7","Ward 4","NW"
2,0,"Hot Water Rad","Y",8,3,1937,NA,1967,2,"1997-04-06",130000,1288,"2 Story","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,2,5168,40.7702143336639,-74.1544474377144,"B3","Ward 4","NW"
4,1,"Hot Water Rad","Y",8,5,1936,2006,1972,2.5,"2007-12-10",1058000,2370,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,1,5810,40.7786731739176,-74.2061632043741,"B2","Ward 4","NW"
3,0,"Hot Water Rad","Y",6,3,1925,2016,1969,2.25,"2015-07-15",890000,1944,"2.5 Story Fin","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",1,1,4176,40.7736525325073,-74.211335018152,"B2","Ward 3","NW"
1,0,"Hot Water Rad","N",6,3,1915,2009,1978,2.5,"2017-09-05",1835000,3178,"2.5 Story Fin","Excellent","Good","Stucco","Comp Shingle","Hardwood",1,1,4500,40.739396866178,-74.2087694972653,"B4","Ward 3","NW"
3,1,"Forced Air","Y",7,3,1940,2017,1967,2,"2017-08-31",730000,1656,"2 Story","Above Average","Good","Common Brick","Slate","Hardwood",1,1,4222,40.7956088512135,-74.1790552694536,"B5","Ward 4","NW"
3,1,"Warm Cool","Y",9,4,1977,1988,1990,2,"1994-08-08",653750,2690,"2 Story","Excellent","Average","Common Brick","Comp Shingle","Hardwood",1,2,7043,40.7397387928232,-74.2487994391984,"D4","Ward 3","NW"
2,0,"Hot Water Rad","N",6,3,1948,NA,1958,2,"2003-06-03",154900,1080,"2 Story","Average","Average","Common Brick","Built Up","Hardwood",1,0,10051,40.7021186789616,-74.0823759529028,"B9","Ward 7","NE"
2,1,"Warm Cool","Y",10,2,1933,NA,1975,2,"2016-05-12",974000,1710,"2 Story","Excellent","Average","Wood Siding","Comp Shingle","Hardwood",1,1,3137,40.7382342499621,-74.2272894748962,"F6","Ward 3","NW"
1,0,"Forced Air","Y",4,2,1936,2018,1967,1.5,"2018-03-27",350000,1234,"1.5 Story Fin","Above Average","Good","Brick/Siding","Comp Shingle","Hardwood/Carp",1,1,5130,40.6540323360707,-74.141713053757,"B7","Ward 8","SE"
3,0,"Warm Cool","Y",7,3,1953,NA,1965,1,"2004-10-19",790000,1697,"1 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood/Carp",1,1,6600,40.747431963639,-74.2298527657128,"A2","Ward 3","NW"
2,1,"Hot Water Rad","Y",6,4,1912,2011,1969,2,"2011-09-16",855000,1974,"2 Story","Good Quality","Average","Vinyl Siding","Comp Shingle","Hardwood",1,0,7929,40.7494807769634,-74.2212660628026,"A2","Ward 3","NW"
4,0,"Hot Water Rad","Y",10,5,1920,NA,1960,2.5,"2003-03-26",343000,2598,"2.5 Story Fin","Good Quality","Average","Stucco","Comp Shingle","Hardwood",1,1,3585,40.7557515985974,-74.1768976346161,"A1","Ward 4","NW"
1,1,"Forced Air","Y",6,3,1936,1984,1957,2.25,"2003-12-12",389000,1399,"2.5 Story Unfin","Above Average","Average","Common Brick","Slate","Hardwood",1,1,5000,40.7661596366321,-74.1633424569762,"A7","Ward 4","NW"
2,1,"Warm Cool","Y",9,3,1940,2005,1969,2,"2012-07-17",853750,1755,"2 Story","Good Quality","Good","Brick/Siding","Slate","Hardwood",1,1,4080,40.7539768608649,-74.2290819564051,"A2","Ward 3","NW"
2,1,"Hot Water Rad","Y",7,5,1916,2016,1969,2.5,"2009-02-12",815000,2598,"2.5 Story Unfin","Good Quality","Good","Wood Siding","Comp Shingle","Hardwood",1,1,8512,40.763729715856,-74.1764804566588,"A1","Ward 4","NW"
4,1,"Hot Water Rad","Y",8,4,1910,1995,1992,2.5,"2005-06-23",1770000,2920,"2.5 Story Fin","Superior","Very Good","Shingle","Comp Shingle","Hardwood",1,2,5109,40.7411818695659,-74.207646412882,"B4","Ward 3","NW"
2,0,"Hot Water Rad","N",6,3,1937,NA,1957,1.5,"2003-10-29",315000,1426,"1.5 Story Fin","Above Average","Average","Common Brick","Slate","Hardwood",1,1,5179,40.7418385255473,-74.1317377127351,"A8","Ward 5","NE"
4,2,"Warm Cool","Y",10,5,1940,2008,2000,2.5,"2015-08-12",2775000,3825,"2.5 Story Fin","Exceptional-B","Good","Common Brick","Slate","Hardwood",1,3,11198,40.7199603011206,-74.2273037309663,"A5","Ward 3","NW"
3,0,"Warm Cool","Y",6,3,1900,2007,1969,2.5,"2007-10-25",1200000,2929,"2.5 Story Fin","Good Quality","Good","Stucco","Comp Shingle","Wood Floor",1,1,4000,40.7597034324614,-74.2344108806701,"A2","Ward 3","NW"
3,0,"Forced Air","Y",8,4,1957,NA,1968,1,"2008-10-30",759000,1643,"1 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",1,2,4914,40.7374758113313,-74.2414946699415,"D4","Ward 3","NW"
3,0,"Hot Water Rad","N",10,3,1922,2000,1957,1.5,"2011-07-14",545000,1937,"1.5 Story Fin","Above Average","Good","Shingle","Comp Shingle","Hardwood",1,0,8235,40.7783871594886,-74.1611804662208,"A7","Ward 4","NW"
1,0,"Warm Cool","Y",6,2,1900,1977,1970,2,"2003-07-01",525000,1064,"2 Story","Excellent","Average","Stucco","Metal- Sms","Hardwood",1,1,981,40.714206858158,-74.199404285029,"C8","Ward 2","NW"
4,1,"Hot Water Rad","N",11,7,1924,NA,1960,2.5,"2013-05-29",715000,3796,"2.5 Story Fin","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",1,1,7600,40.7395687198135,-74.1261022705245,"A8","Ward 5","NE"
1,0,"Forced Air","N",6,3,1927,NA,1967,2,"1992-10-30",99000,1134,"2 Story","Above Average","Average","Wood Siding","Comp Shingle","Hardwood/Carp",1,1,3725,40.7319441188781,-74.1188722064886,"F8","Ward 5","NE"
2,1,"Hot Water Rad","Y",6,3,1939,2011,1964,1.5,"2012-04-12",195000,999,"1.5 Story Fin","Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,3686,40.6543615411111,-74.1420860023932,"B7","Ward 8","SE"
4,2,"Warm Cool","Y",12,8,1936,2014,1991,2.5,"2013-10-15",2500000,2856,"2.5 Story Fin","Exceptional-B","Good","Stone","Slate","Hardwood",1,3,12963,40.729604275705,-74.2014434314039,"D8","Ward 3","NW"
2,1,"Forced Air","Y",9,3,NA,2000,1992,4,"1994-12-30",340000,3385,"2 Story","Superior","Good","Wood Siding","Typical","Hardwood",1,1,12725,40.7521594450539,-74.1971511626106,"C3","Ward 3","NW"
2,1,"Warm Cool","Y",8,3,1939,2002,1970,2.25,"2007-08-16",993000,1981,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,6518,40.7807101221645,-74.2019994957198,"B2","Ward 4","NW"
1,1,"Hot Water Rad","Y",6,2,1925,NA,1954,2,"2016-06-22",449900,1088,"2 Story","Average","Average","Vinyl Siding","Comp Shingle","Hardwood",1,0,3553,40.7408509757432,-74.1135113624732,"F8","Ward 5","NE"
3,1,"Warm Cool","Y",10,5,1927,2007,1986,3,"2011-03-08",820000,2526,"3 Story","Good Quality","Good","Common Brick","Clay Tile","Hardwood",1,1,4300,40.7649532575822,-74.1795677258236,"A1","Ward 4","NW"
3,1,"Forced Air","Y",8,5,1939,2017,1969,2.25,"2017-08-16",7e+05,2746,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,2,12254,40.6654361261009,-74.0994486710141,"D2","Ward 7","SE"
4,1,"Forced Air","Y",10,5,1997,NA,2011,2,"2006-01-13",2541100,3774,"2 Story","Superior","Good","Common Brick","Comp Shingle","Hardwood",1,2,13159,40.7293658102068,-74.2349636505403,"A5","Ward 3","NW"
2,1,"Warm Cool","Y",7,3,1965,2015,1982,2,"2015-09-03",435000,1368,"Split Foyer","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,0,5000,40.680593879927,-74.1021818549442,"D2","Ward 7","SE"
2,1,"Forced Air","Y",7,4,1997,NA,2004,2,"1998-04-15",222285,2058,"2 Story","Good Quality","Good","Brick/Siding","Comp Shingle","Carpet",1,1,7502,40.728774589855,-74.1221098509533,"F8","Ward 5","NE"
2,0,"Forced Air","Y",8,4,1959,NA,1978,2,"2005-03-01",305000,1504,"2 Story","Above Average","Good","Stucco","Shingle","Hardwood",1,0,4000,40.6910329160743,-74.0713093187355,"D7","Ward 7","SE"
2,1,"Forced Air","Y",9,4,2017,NA,2017,2,"2017-07-31",512282,2404,"2 Story","Above Average","Very Good","Vinyl Siding","Comp Shingle","Hardwood",1,0,5040,40.7123036873969,-74.0882327057284,"D6","Ward 7","NE"
2,1,"Warm Cool","Y",4,2,1900,2003,1967,1.5,"2018-03-26",1455500,2442,"1.5 Story Fin","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,0,2244,40.7208687746136,-74.1860704296381,"E5","Ward 2","NW"
2,1,"Hot Water Rad","Y",9,3,1930,2005,1967,2,"2002-07-07",480000,1648,"2 Story","Good Quality","Average","Common Brick","Slate","Hardwood",1,1,6017,40.7674819416503,-74.209650116127,"B2","Ward 3","NW"
3,1,"Warm Cool","Y",8,4,1941,2003,1983,1.75,"2015-08-05",1435000,2702,"2 Story","Superior","Good","Brick/Stone","Slate","Hardwood",1,2,6929,40.7414826113663,-74.2500737985068,"D4","Ward 3","NW"
2,1,"Hot Water Rad","Y",8,3,1938,1989,1947,2,"2002-04-03",205000,1559,"2 Story","Above Average","Good","Common Brick","Slate","Carpet",1,1,4246,40.7502782190815,-74.1261519571574,"D9","Ward 5","NE"
1,1,"Warm Cool","Y",7,3,1955,NA,1971,2,"2007-04-10",690000,1200,"2 Story","Excellent","Good","Common Brick","Slate","Hardwood",1,1,3000,40.7362706120777,-74.2437010529205,"D4","Ward 3","NW"
3,1,"Hot Water Rad","Y",7,4,1921,2015,1986,2,"2015-12-29",925000,2276,"2 Story","Good Quality","Good","Wood Siding","Comp Shingle","Hardwood",1,1,4300,40.759593816681,-74.1721115384367,"A1","Ward 4","NW"
3,0,"Hot Water Rad","N",8,3,1931,1995,1961,2,"1999-09-29",4e+05,1696,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood",1,1,5000,40.7683524661402,-74.2074654697687,"B2","Ward 4","NW"
1,2,"Warm Cool","Y",8,2,1939,1990,1995,1.75,"2000-08-24",263000,1710,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,2,9293,40.6743639513096,-74.1049174716639,"D2","Ward 7","SE"
3,1,"Warm Cool","Y",10,4,1927,2016,1967,2,"2015-05-11",1100000,5421,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,2,17221,40.7762822112084,-74.1803587009071,"A7","Ward 4","NW"
2,1,"Hot Water Rad","Y",9,3,1937,NA,1972,2,"2013-10-16",820000,1676,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood",1,1,5187,40.7356057653621,-74.2475157431444,"D4","Ward 3","NW"
3,0,"Forced Air","Y",7,3,1965,2018,1982,1,"2018-03-18",580000,1350,"Split Level","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,7178,40.6801315149924,-74.0969972792727,"D2","Ward 7","SE"
2,1,"Forced Air","Y",6,3,1913,2012,1964,2.25,"1993-08-31",138800,1594,"2 Story","Average","Good","Vinyl Siding","Comp Shingle","Hardwood/Carp",1,0,6350,40.7382088201592,-74.1207569953267,"F8","Ward 5","NE"
2,2,"Warm Cool","Y",8,4,1927,2003,1969,2.5,"2003-06-03",559900,2294,"2.5 Story Unfin","Good Quality","Good","Common Brick","Slate","Hardwood",1,1,7000,40.7859401858258,-74.1741171435362,"F1","Ward 4","NW"
5,1,"Hot Water Rad","Y",11,5,1936,1996,1969,2,"2012-08-28",1200000,3034,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,2,5875,40.7817645485012,-74.1994556400027,"B2","Ward 4","NW"
2,0,"Hot Water Rad","N",8,3,1961,NA,1969,1,"2002-10-04",234000,1282,"1 Story","Average","Average","Common Brick","Comp Shingle","Hardwood",1,0,5674,40.7869265917608,-74.1648655832984,"A7","Ward 4","NW"
4,1,"Forced Air","Y",12,5,1931,1985,1995,2,"2016-06-20",1770000,2651,"2 Story","Superior","Good","Common Brick","Slate","Hardwood",1,2,6000,40.7544168232593,-74.2384002823283,"A2","Ward 3","NW"
3,3,"Warm Cool","Y",11,4,1959,1965,1980,2.5,"1999-05-29",1447962,4118,"2.5 Story Fin","Superior","Good","Brick/Siding","Slate","Hardwood",1,3,14236,40.7479256932949,-74.2424943567607,"F2","Ward 3","NW"
2,1,"Warm Cool","Y",10,5,1940,2014,1972,2.5,"2015-08-31",1267500,2350,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,5092,40.7761014527247,-74.2074333294935,"B2","Ward 4","NW"
2,1,"Warm Cool","Y",10,4,1927,1995,1950,2.5,"1995-01-03",292000,2124,"2.5 Story Fin","Good Quality","Average","Stucco","Clay Tile","Hardwood",1,1,5390,40.7543672009675,-74.1820634981686,"B8","Ward 4","NW"
4,3,"Warm Cool","Y",11,6,1938,1975,1982,2,"2007-02-17",1875000,4077,"2 Story","Good Quality","Very Good","Common Brick","Slate","Hardwood",1,3,11096,40.7488781512807,-74.2156326964361,"E2","Ward 3","NW"
2,1,"Warm Cool","Y",8,3,1962,NA,1980,2,"2016-06-09",560000,1960,"2 Story","Above Average","Good","Brick/Siding","Comp Shingle","Hardwood",1,2,4374,40.7467934041962,-74.1175883988084,"D9","Ward 5","NE"
2,1,"Hot Water Rad","N",9,4,1926,NA,1962,2,"2000-09-30",425000,2394,"2 Story","Excellent","Average","Common Brick","Slate","Hardwood",1,1,4794,40.743589835676,-74.2154708673842,"B4","Ward 3","NW"
2,2,"Forced Air","Y",9,4,1922,2012,1969,3,"2012-11-03",795000,2258,"3 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,1,5690,40.7499476039095,-74.1822169545688,"B8","Ward 4","NW"
4,0,"Warm Cool","Y",9,6,1937,1994,1969,2,"2008-06-11",930000,2018,"2 Story","Good Quality","Very Good","Common Brick","Slate","Hardwood",1,1,3000,40.7501160475021,-74.2308787784381,"A2","Ward 3","NW"
1,1,"Warm Cool","Y",6,3,1979,NA,1985,1,"2015-09-28",297500,1080,"1 Story","Average","Average","Common Brick","Comp Shingle","Hardwood",1,0,4032,40.7071612928004,-74.0817212128207,"B9","Ward 7","NE"
1,2,"Warm Cool","Y",8,3,1960,NA,1971,1,"1994-09-10",235000,1269,"1 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",1,0,7727,40.7857903918424,-74.1653446331292,"A7","Ward 4","NW"
1,2,"Hot Water Rad","N",5,3,1930,NA,1957,2,"2015-10-20",332168,2550,"2 Story","Above Average","Average","Common Brick","Metal- Sms","Hardwood",1,1,3600,40.7825998481548,-74.1676702257768,"A7","Ward 4","NW"
3,0,"Warm Cool","Y",8,5,1948,NA,1958,1.5,"2007-02-25",810000,2257,"1.5 Story Fin","Above Average","Average","Brick/Siding","Shingle","Hardwood",1,2,9798,40.7483350462376,-74.1844884193658,"B8","Ward 4","NW"
4,1,"Hot Water Rad","Y",11,5,1910,2014,1978,3,"2002-02-06",1073000,3838,"3 Story","Excellent","Good","Common Brick","Slate","Hardwood",1,2,4866,40.7336580731223,-74.1940457525833,"C7","Ward 3","NW"
1,1,"Hot Water Rad","N",6,3,1944,NA,1961,2.25,"2008-10-23",370000,1512,"2.5 Story Unfin","Good Quality","Average","Common Brick","Slate","Hardwood",1,2,6927,40.6648998858764,-74.0999645572708,"D2","Ward 7","SE"
